mag,ra,dec
8.47,0.09652,47.087292
9.37,0.097139,-52.820063
9.44,0.097511,78.738515
9.99,0.097494,-68.551373
10.38,0.097727,2.764325
7.51,0.097924,-41.753068
8.91,0.097998,12.527356
7.45,0.098543,18.235003
9.57,0.098568,-14.43278
8.99,0.098642,-68.811599
8.58,0.098743,18.075868
6.9,0.099091,24.569005
7.55,0.099178,49.622343
7.93,0.09952,44.739381
9.71,0.099707,-54.640628
9.57,0.100011,-48.678759
8.55,0.100038,-39.137585
6.62,0.100149,28.276949
7.89,0.100294,16.452078
7.51,0.100905,24.9166
7.36,0.100942,63.679656
8.66,0.100976,53.276915
8.51,0.101162,-84.098203
6.65,0.101182,40.41853
9.67,0.101436,-31.444326
7.8,0.102232,9.714938
8.21,0.102236,0.121419
7.9,0.102521,-29.151382
8.94,0.103163,87.889424
9.82,0.10326,-23.53858
8.69,0.103654,-1.887164
8.57,0.103943,-32.81635
8.89,0.104262,-55.498696
5.98,0.104356,58.436733
7.92,0.104673,-64.240473
7.6,0.104706,-10.778477
8.22,0.105181,-1.238097
5.7,0.105277,-49.075191
12.17,0.105282,-65.840538
8.75,0.105545,-12.017184
6.93,0.105609,40.898745
7.97,0.105613,60.457121
8.06,0.105773,68.636103
10.13,0.106058,-24.602622
7.31,0.106936,-18.038252
8.35,0.107225,42.75276
5.57,0.10737,64.196168
9.85,0.107466,-74.401099
9.16,0.107524,-16.737625
9.03,0.107644,-52.933129
10.07,0.107897,-43.627763
9.76,0.108131,27.090106
9.35,0.108702,-21.501264
10.95,0.108833,5.825395
8.87,0.109432,43.782223
6.68,0.109872,28.553404
9.69,0.109901,-47.584729
8.05,0.109968,56.51448
10.3,0.110056,-25.295685
6.07,0.110209,29.021502
8.51,0.110694,33.654249
7.71,0.110792,-36.08477
8.56,0.111,-24.62084
8.26,0.111131,70.169254
11.55,0.111381,65.587694
8.62,0.111621,56.324658
10.92,0.112169,8.657202
10.51,0.112581,-6.261311
9.83,0.112641,-21.092538
9.84,0.112857,-13.748886
9.74,0.112946,10.069051
8.21,0.113048,-4.350026
8.72,0.113056,23.493822
8.03,0.113118,-70.589435
9,0.113321,44.612832
6.19,0.113911,-23.10754
11.79,0.113974,68.167123
8.22,0.114065,20.559759
7.93,0.114086,31.130423
10.18,0.114256,-45.863876
8.98,0.114543,1.861029
9.13,0.114545,49.382114
6.91,0.114803,-38.877668
8.79,0.114827,-55.160828
8.23,0.114967,-3.626263
12.19,0.115387,-30.608502
10.24,0.115487,-30.603072
8.83,0.115594,38.202539
7.62,0.115647,-43.985229
8.96,0.116532,-40.414021
10.41,0.116547,65.538714
8.97,0.116577,53.974853
9.61,0.116845,32.870098
8.29,0.117222,22.844452
8.3,0.117341,5.287996
8.26,0.11739,-18.820734
7.44,0.117816,6.875548
9.52,0.118189,62.392729
8.2,0.11837,85.40486
8.68,0.118781,-15.850159
8.65,0.118835,-30.561565
10.52,0.118896,-23.036249
8.41,0.11896,-37.929168
9.18,0.11898,14.823728
8.42,0.119186,72.775219
8.86,0.119495,34.853794
7.92,0.119727,46.756978
10.97,0.119833,65.653779
8.85,0.120161,6.204281
9.31,0.120194,-60.070832
10.28,0.120214,-22.027732
7.56,0.120371,-76.730929
7.88,0.120481,73.210297
7.99,0.120686,20.555714
8.23,0.120941,-41.889566
8.52,0.121286,-27.397838
9.14,0.121709,20.965066
6.2,0.121741,-17.38699
7.64,0.121774,7.703558
8.95,0.122069,1.665077
7.48,0.122792,-56.836907
7.06,0.122925,-25.356649
7.33,0.122932,26.450601
8.98,0.123023,-11.033396
8.24,0.12312,-11.612953
8.53,0.123716,-40.47956
8.4,0.123862,-77.494189
7.48,0.124472,-56.011483
8.46,0.124796,17.302737
9.29,0.125339,35.745739
8.57,0.125363,24.321207
8.7,0.125701,-23.818719
8.5,0.125771,32.008744
8.37,0.126312,-60.641821
6.87,0.126439,31.669001
7.5,0.126828,-62.315095
7.39,0.126886,-86.038759
8.19,0.127062,-45.119538
7.56,0.127059,52.772969
8.37,0.127071,53.526542
7.39,0.127138,40.078498
6.73,0.127202,40.147954
8.66,0.127532,-66.895387
8.25,0.127777,1.094204
8.47,0.127831,-7.921323
8.01,0.127908,39.034775
6.83,0.128037,-65.932427
9.06,0.128052,-56.249543
8.79,0.128508,-46.544714
7.44,0.12864,37.185443
6.43,0.12892,-2.548679
5.93,0.129693,-22.50856
8.85,0.129947,-5.485918
9.86,0.130034,21.745574
8.55,0.130111,-11.129061
7.66,0.130828,38.721732
7.82,0.13111,55.577041
9.08,0.131453,-4.854954
